Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
22/11/2022,0.05,0.01,0.01,0.01,0.02,0.05,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.16,0.01,0.01,0.04,0.05,0.06,0.12,0.06,0.07,0.08,0.61,0.69,0.06,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.03,0.05,
23/11/2022,0.01,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.01,0.04,0.07,0.02,0.01,0.03,0.05,0.05,0.01,0.01,0.01,0.02,0.04,0.07,0.33,0.05,0.06,0.07,0.13,0.03,0.01,0.01,0.01,0.06,0.09,0.06,0.05,0.36,0.14,0.05,0.01,0.07,0.01,0.04,0.1,0.07,0.04,0.01,0.01,
24/11/2022,0.04,0.05,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.03,0.02,0.02,0.01,0.38,0.05,0.1,0.01,0.01,0.12,0.09,0.04,0.04,0.03,0.02,0.41,0.47,0.36,0.09,0.05,0.02,0.08,0.07,0.16,0.07,0.02,0.02,0.04,0.02,
25/11/2022,0.01,0.01,0.03,0.04,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.04,0.14,0.05,0.32,0.02,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.02,0.57,0.04,0.03,0.06,0.2,0.09,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.02,0.02,
26/11/2022,0.01,0.05,0.04,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.04,0.32,0.03,0.05,0.01,0.14,0.06,0.06,0.1,0.1,0.01,0.01,0.09,0.19,0.19,0.11,0.1,0.03,0.02,0.05,0.03,0.01,0.02,0.02,0.06,0.03,
27/11/2022,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.04,0.02,0.76,0.08,0.06,0.02,0.08,0.05,0.18,0.05,0.03,0.02,0.01,0.01,0.02,0.14,0.23,0.14,0.11,0.11,0.16,0.06,0.06,0.03,0.03,0.08,0.05,
28/11/2022,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.21,0.03,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.05,0.04,0.01,0.01,0.01,0.02,0.05,0.03,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.12,0.04,
29/11/2022,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.27,0.66,0.04,0.05,0.09,0.02,0.01,0.03,0.16,0.06,0.06,0.04,0.34,0.07,0.03,0.05,0.09,0.01,0.13,0.04,0.01,0.01,0.01,0.02,0.05,
30/11/2022,0.02,0.01,0.02,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.25,0.77,0.73,1.01,0.08,0.01,0.01,0.02,0.11,0.03,0.1,0.5,0.54,0.23,0.19,0.04,0.03,0.04,0.07,0.03,0.04,0.01,0.01,0.01,0.05,
01/12/2022,0.03,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.15,0.1,0.03,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.1,0.11,0.01,0.01,0.02,0.02,0.05,0.03,0.01,0.01,
02/12/2022,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.18,0.09,0.07,0.16,0.03,0.01,0.03,0.1,0.19,0.11,0.11,0.53,0.23,0.21,0.13,0.09,0.11,0.11,0.08,0.05,0.01,0.02,0.02,0.01,0.05,
03/12/2022,0.03,0.01,0.01,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.06,0.07,0.22,0.88,1.33,0.88,0.03,0.01,0.01,0.09,0.14,0.58,0.09,0.16,0.07,0.01,0.01,0.01,0.03,0.09,0.02,0.01,0.02,0.02,0.05,
04/12/2022,0.02,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.03,0.05,0.12,0.03,0.04,0.09,0.08,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,
05/12/2022,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,
06/12/2022,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.05,0.04,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,
07/12/2022,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.05,0.07,0.01,0.01,0.01,0.03,0.05,0.04,0.01,0.01,0.01,0.01,0.02,0.05,0.03,0.01,0.01,0.01,0.01,0.04,0.05,0.01,
08/12/2022,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.05,0.03,
09/12/2022,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.04,0.05,
